"","year","week","Global","S1","S2","S3","other"
"45",2007,45,226.645633333333,16.269,11.724,65.313,133.339633333333
"46",2007,46,250.2372,14.437,18.92,83.825,133.0552
"47",2007,47,222.016566666667,13.407,15.644,73.046,119.919566666667
"48",2007,48,269.129266666667,16.81,27.569,82.749,142.001266666667
"49",2007,49,245.462566666667,16.094,15.232,73.09,141.046566666667
"50",2007,50,249.559466666667,10.503,15.614,77.874,145.568466666667
"51",2007,51,259.482633333333,12.832,16.828,83.817,146.005633333333
"52",2007,52,317.2703,23.215,24.532,85.088,184.4353
"53",2007,53,36.9423666666667,0,3.457,14.071,19.4143666666667
"54",2008,1,231.834166666667,10.199,15.018,72.474,134.143166666667
"55",2008,2,253.498,23.944,7.67,66.961,154.923
"56",2008,3,236.028433333333,8.281,18.319,70.945,138.483433333333
"57",2008,4,260.2859,16.685,15.177,74.02,154.4039
"58",2008,5,240.899733333333,12.715,14.458,68.187,145.539733333333
"59",2008,6,226.497933333333,9.782,16.465,69.148,131.102933333333
"60",2008,7,221.547433333333,11.206,12.353,70.415,127.573433333333
"61",2008,8,189.1431,9.141,15.422,60.871,103.7091
"62",2008,9,104.3504,0,13.413,22.116,68.8214
"63",2008,10,225.002766666667,15.613,17.13,52.192,140.067766666667
"64",2008,11,215.7531,11.814,21.465,70.46,112.0141
"65",2008,12,214.9984,17.276,18.374,71.934,107.4144
"66",2008,13,215.011433333333,18.407,13.57,78.04,104.994433333333
"67",2008,14,196.455266666667,10.791,15.689,73.313,96.6622666666667
"68",2008,15,230.906,17.445,20.903,87,105.558
"69",2008,16,193.783433333333,11.254,18.324,72.666,91.5394333333333
"70",2008,17,131.116133333333,5.131,9.954,45.565,70.4661333333333
"71",2008,18,154.593766666667,9.773,10.906,50.603,83.3117666666667
"72",2008,19,197.907766666667,17.875,9.995,74.073,95.9647666666667
"73",2008,20,172.727133333333,11.333,17.508,62.462,81.4241333333333
"74",2008,21,171.427,10.656,14.781,70.57,75.42
"75",2008,22,165.329166666667,8.772,12.821,67.694,76.0421666666667
"76",2008,23,171.2504,14.085,19.159,64.671,73.3354
"77",2008,24,171.6829,16.957,17.629,66.617,70.4799
"78",2008,25,180.9224,23.233,15.5,79.713,62.4764
"79",2008,26,143.162366666667,11.587,10.058,61.454,60.0633666666667
"80",2008,27,144.3394,13.689,16.971,54.154,59.5254
"81",2008,28,137.859266666667,12.319,9.888,53.104,62.5482666666667
"82",2008,29,137.594233333333,11.352,9.279,53.425,63.5382333333333
"83",2008,30,107.179,4.301,4.167,46.877,51.834
"84",2008,31,112.252633333333,6.834,10.941,36.898,57.5796333333333
"85",2008,32,47.8864333333333,0.635,3.471,19.357,24.4234333333333
"86",2008,33,32.3141333333333,0,3.12,12.082,17.1121333333333
"87",2008,34,30.5207,0,2.994,10.958,16.5687
"88",2008,35,67.8343333333333,3.006,6.37,30.221,28.2373333333333
"89",2008,36,157.039566666667,15.51,14.443,62.147,64.9395666666667
"90",2008,37,163.122733333333,10.68,7.913,63.058,81.4717333333333
"91",2008,38,166.024033333333,12.705,10.002,69.029,74.2880333333333
"92",2008,39,181.234933333333,11.533,11.351,72.45,85.9009333333333
"93",2008,40,187.992,13.49,11.048,64.921,98.533
"94",2008,41,202.1411,8.834,17.69,72.851,102.7661
"95",2008,42,218.253266666667,8.503,23.413,65.221,121.116266666667
"96",2008,43,170.7331,10.964,10.073,58.102,91.5941
"97",2008,44,131.8835,4.263,2.401,28.862,96.3575
"98",2008,45,238.473733333333,18.1,21.729,60.325,138.319733333333
"99",2008,46,240.388966666667,14.376,11.669,75.495,138.848966666667
"100",2008,47,254.754066666667,10.676,14.305,70.006,159.767066666667
"101",2008,48,248.659666666667,15.037,7.456,77.147,149.019666666667
"102",2008,49,236.751266666667,11.469,7.552,78.104,139.626266666667
"103",2008,50,216.422733333333,12.536,10.235,68.262,125.389733333333
"104",2008,51,240.2808,11.302,17.15,83.281,128.5478
"105",2008,52,174.177666666667,5.74,3.722,49.681,115.034666666667
"106",2008,53,52.6571,2.975,0.491,19.005,30.1861
"107",2009,1,216.030433333333,15.013,19.838,59.419,121.760433333333
"108",2009,2,217.484466666667,15.341,11.082,76.428,114.633466666667
"109",2009,3,266.332733333333,18.934,16.22,86.666,144.512733333333
"110",2009,4,233.559366666667,15.463,18.663,70.641,128.792366666667
"111",2009,5,244.761033333333,15.963,15.842,85.805,127.151033333333
"112",2009,6,255.028933333333,19.608,16.247,91.659,127.514933333333
"113",2009,7,175.074166666667,6.954,4.859,69.454,93.8071666666667
"114",2009,8,197.655166666667,12.174,15.013,56.022,114.446166666667
"115",2009,9,207.5445,18.41,11.76,66.613,110.7615
"116",2009,10,220.1098,14.929,14.545,78.637,111.9988
"117",2009,11,202.3532,8.989,10.74,84.204,98.4202
"118",2009,12,184.5261,14.088,9.059,65.792,95.5871
"119",2009,13,205.743833333333,13.335,10.559,70.438,111.411833333333
"120",2009,14,183.364466666667,11.692,8.677,72.04,90.9554666666667
"121",2009,15,210.871133333333,19.672,17.43,78.978,94.7911333333333
"122",2009,16,188.056233333333,9.074,12.832,67.372,98.7782333333333
"123",2009,17,181.0352,10.234,10.935,66.836,93.0302
"124",2009,18,184.9935,9.825,12.129,74.598,88.4415
"125",2009,19,174.7873,11.07,11.997,68.186,83.5343
"126",2009,20,178.5794,10.719,14.36,72.549,80.9514
"127",2009,21,161.740033333333,6.223,8.956,74.582,71.9790333333333
"128",2009,22,148.817566666667,10.489,5.357,67.268,65.7035666666667
"129",2009,23,151.058066666667,8.808,10.875,65.2,66.1750666666667
"130",2009,24,94.7552666666667,5.883,3.117,44.372,41.3832666666667
"131",2009,25,131.383233333333,6.077,6.954,67.73,50.6222333333333
"132",2009,26,137.300866666667,7.854,7.108,61.584,60.7548666666666
"133",2009,27,134.2471,8.513,12.9,52.362,60.4721
"134",2009,28,94.4511,5.15,6.696,39.947,42.6581
"135",2009,29,95.2866,0.914,6.057,37.727,50.5886
"136",2009,30,86.0809666666667,1.795,10.558,37.811,35.9169666666667
"137",2009,31,74.8781333333333,0.865,9.04,31.853,33.1201333333333
"138",2009,32,90.6903666666667,3.753,10.228,35.252,41.4573666666667
"139",2009,33,113.909,9.888,10.563,39.598,53.86
"140",2009,34,131.422066666667,14.086,8.8,51.606,56.9300666666667
"141",2009,35,139.898933333333,7.243,6.669,60.091,65.8959333333333
"142",2009,36,147.452133333333,11.464,11.557,60.073,64.3581333333333
"143",2009,37,178.9331,20.304,7.678,72.091,78.8601
"144",2009,38,184.491833333333,12.075,9.91,77.871,84.6358333333334
"145",2009,39,162.8765,6.812,15.643,70.518,69.9035
"146",2009,40,171.726166666667,9.502,11.01,69.732,81.4821666666667
"147",2009,41,189.8666,14.693,12.378,74.708,88.0876
"148",2009,42,206.108366666667,11.726,12.631,78.048,103.703366666667
"149",2009,43,194.598533333333,14.49,9.066,75.875,95.1675333333333
"150",2009,44,212.777033333333,11.252,17.544,70.118,113.863033333333
"151",2009,45,201.125166666667,12.814,9.424,76.702,102.185166666667
"152",2009,46,223.094866666667,16.535,17.178,81.652,107.729866666667
"153",2009,47,232.730066666667,16.547,13.36,80.314,122.509066666667
"154",2009,48,205.613333333333,8.757,12.017,79.557,105.282333333333
"155",2009,49,224.5485,13.163,9.343,78.422,123.6205
"156",2009,50,215.396566666667,12.784,10.886,80.956,110.770566666667
"157",2009,51,203.142933333333,8.033,4.438,85.844,104.827933333333
"158",2009,52,266.763133333333,22.678,21.03,95.606,127.449133333333
"159",2009,53,36.8648666666667,0,0.387,19.409,17.0688666666667
"160",2010,1,199.7846,11.661,9.641,71.631,106.8516
"161",2010,2,167.704733333333,10.038,11.794,63.114,82.7587333333333
"162",2010,3,250.9603,12.426,10.403,105.548,122.5833
"163",2010,4,258.962766666667,13.319,14.955,107.099,123.589766666667
"164",2010,5,263.423466666667,10.862,19.479,129.553,103.529466666667
"165",2010,6,245.917766666667,11.556,10.667,103.074,120.620766666667
"166",2010,7,227.364266666667,12.974,13.592,100.981,99.8172666666667
"167",2010,8,223.456866666667,15.43,16.245,94.496,97.2858666666667
"168",2010,9,138.020433333333,6.674,5.138,53,73.2084333333333
"169",2010,10,189.864033333333,9.406,14.181,71.053,95.2240333333333
"170",2010,11,208.357666666667,11.064,14.177,88.236,94.8806666666667
"171",2010,12,163.796433333333,6.779,11.581,70.82,74.6164333333334
"172",2010,13,207.298366666667,7.835,19.694,87.767,92.0023666666667
"173",2010,14,188.919366666667,7.006,8.12,86.118,87.6753666666667
"174",2010,15,175.184,13.046,9.866,78.221,74.051
"175",2010,16,186.315333333333,8.174,10.596,93.28,74.2653333333333
"176",2010,17,142.4489,5.495,6.718,57.11,73.1259
"177",2010,18,177.6586,10.486,17.557,74.469,75.1466
"178",2010,19,189.5185,11.825,12.062,84.905,80.7265
"179",2010,20,189.956,10.889,6.357,89.308,83.402
"180",2010,21,168.815133333333,8.41,11.099,74.492,74.8141333333333
"181",2010,22,168.303033333333,13.078,7.467,81.036,66.7220333333333
"182",2010,23,171.682966666667,26.344,8.276,73.341,63.7219666666667
"183",2010,24,172.603266666667,13.899,13.089,76.334,69.2812666666667
"184",2010,25,169.0068,15.888,18.536,72.555,62.0278
"185",2010,26,146.5466,6.607,7.188,59.526,73.2256
"186",2010,27,132.774233333333,4.259,6.422,48.67,73.4232333333334
"187",2010,28,149.431266666667,7.887,8.708,52.174,80.6622666666667
"188",2010,29,105.400666666667,2.039,5.442,36.956,60.9636666666667
"189",2010,30,107.941733333333,2.605,11.784,39.315,54.2377333333333
"190",2010,31,65.0511,0,3.752,29.038,32.2611
"191",2010,32,62.2034,0,3.649,28.156,30.3984
"192",2010,33,70.8747,2.47,6.585,26.666,35.1537
"193",2010,34,55.3267333333333,0.969,2.22,26.155,25.9827333333333
"194",2010,35,183.1284,11.936,13.553,84.308,73.3314
"195",2010,36,163.842133333333,12.061,8.066,66.956,76.7591333333333
"196",2010,37,153.939,7.914,9.301,61.968,74.756
"197",2010,38,156.993633333333,9.752,10.924,71.663,64.6546333333333
"198",2010,39,80.6188,4.262,2.523,31.499,42.3348
"199",2010,40,200.245866666667,15.608,8.833,73.587,102.217866666667
"200",2010,41,208.873833333333,11.93,11.906,82.734,102.303833333333
"201",2010,42,189.445733333333,7.875,17.847,66.053,97.6707333333333
"202",2010,43,186.4246,7.928,19.616,68.492,90.3886
"203",2010,44,187.6043,11.908,15.527,56.148,104.0213
"204",2010,45,213.051266666667,11.915,11.303,74.461,115.372266666667
"205",2010,46,206.495033333333,12.852,7.307,68.15,118.186033333333
"206",2010,47,191.913333333333,13.265,9.778,63.168,105.702333333333
"207",2010,48,24.8017333333333,1.08,0.385,9.989,13.3477333333333
