"","year","week","Global","S1","S2","S3","other"
"65",2008,12,215,17,18,72,107
"66",2008,13,215,18,14,78,105
"67",2008,14,196,11,16,73,97
"68",2008,15,231,17,21,87,106
"69",2008,16,194,11,18,73,92
"70",2008,17,131,5,10,46,70
"71",2008,18,155,10,11,51,83
"72",2008,19,198,18,10,74,96
"73",2008,20,173,11,18,62,81
"74",2008,21,171,11,15,71,75
"75",2008,22,165,9,13,68,76
"76",2008,23,171,14,19,65,73
"77",2008,24,172,17,18,67,70
"78",2008,25,181,23,16,80,62
"79",2008,26,143,12,10,61,60
"80",2008,27,144,14,17,54,60
"81",2008,28,138,12,10,53,63
"82",2008,29,138,11,9,53,64
"83",2008,30,107,4,4,47,52
"84",2008,31,112,7,11,37,58
"85",2008,32,48,1,3,19,24
"86",2008,33,32,0,3,12,17
"87",2008,34,31,0,3,11,17
"88",2008,35,68,3,6,30,28
"89",2008,36,157,16,14,62,65
"90",2008,37,163,11,8,63,81
"91",2008,38,166,13,10,69,74
"92",2008,39,181,12,11,72,86
"93",2008,40,188,13,11,65,99
"94",2008,41,202,9,18,73,103
"95",2008,42,218,9,23,65,121
"96",2008,43,171,11,10,58,92
"97",2008,44,132,4,2,29,96
"98",2008,45,238,18,22,60,138
"99",2008,46,240,14,12,75,139
"100",2008,47,255,11,14,70,160
"101",2008,48,249,15,7,77,149
"102",2008,49,237,11,8,78,140
"103",2008,50,216,13,10,68,125
"104",2008,51,240,11,17,83,129
"105",2008,52,174,6,4,50,115
"106",2008,53,53,3,0,19,30
"107",2009,1,216,15,20,59,122
"108",2009,2,217,15,11,76,115
"109",2009,3,266,19,16,87,145
"110",2009,4,234,15,19,71,129
"111",2009,5,245,16,16,86,127
"112",2009,6,255,20,16,92,128
"113",2009,7,175,7,5,69,94
"114",2009,8,198,12,15,56,114
"115",2009,9,208,18,12,67,111
"116",2009,10,220,15,15,79,112
"117",2009,11,202,9,11,84,98
"118",2009,12,185,14,9,66,96
"119",2009,13,206,13,11,70,111
"120",2009,14,183,12,9,72,91
"121",2009,15,211,20,17,79,95
"122",2009,16,188,9,13,67,99
"123",2009,17,181,10,11,67,93
"124",2009,18,185,10,12,75,88
"125",2009,19,175,11,12,68,84
"126",2009,20,179,11,14,73,81
"127",2009,21,162,6,9,75,72
"128",2009,22,149,10,5,67,66
"129",2009,23,151,9,11,65,66
"130",2009,24,95,6,3,44,41
"131",2009,25,131,6,7,68,51
"132",2009,26,137,8,7,62,61
"133",2009,27,134,9,13,52,60
"134",2009,28,94,5,7,40,43
"135",2009,29,95,1,6,38,51
"136",2009,30,86,2,11,38,36
"137",2009,31,75,1,9,32,33
"138",2009,32,91,4,10,35,41
"139",2009,33,114,10,11,40,54
"140",2009,34,131,14,9,52,57
"141",2009,35,140,7,7,60,66
"142",2009,36,147,11,12,60,64
"143",2009,37,179,20,8,72,79
"144",2009,38,184,12,10,78,85
"145",2009,39,163,7,16,71,70
"146",2009,40,172,10,11,70,81
"147",2009,41,190,15,12,75,88
"148",2009,42,206,12,13,78,104
"149",2009,43,195,14,9,76,95
"150",2009,44,213,11,18,70,114
"151",2009,45,201,13,9,77,102
"152",2009,46,223,17,17,82,108
"153",2009,47,233,17,13,80,123
"154",2009,48,206,9,12,80,105
"155",2009,49,225,13,9,78,124
"156",2009,50,215,13,11,81,111
"157",2009,51,203,8,4,86,105
"158",2009,52,267,23,21,96,127
"159",2009,53,37,0,0,19,17
"160",2010,1,200,12,10,72,107
"161",2010,2,168,10,12,63,83
"162",2010,3,251,12,10,106,123
"163",2010,4,259,13,15,107,124
"164",2010,5,263,11,19,130,104
"165",2010,6,246,12,11,103,121
"166",2010,7,227,13,14,101,100
"167",2010,8,223,15,16,94,97
"168",2010,9,138,7,5,53,73
"169",2010,10,190,9,14,71,95
"170",2010,11,208,11,14,88,95
"171",2010,12,164,7,12,71,75
"172",2010,13,207,8,20,88,92
"173",2010,14,189,7,8,86,88
"174",2010,15,175,13,10,78,74
"175",2010,16,186,8,11,93,74
"176",2010,17,142,5,7,57,73
"177",2010,18,178,10,18,74,75
"178",2010,19,190,12,12,85,81
"179",2010,20,190,11,6,89,83
"180",2010,21,169,8,11,74,75
"181",2010,22,168,13,7,81,67
"182",2010,23,172,26,8,73,64
"183",2010,24,173,14,13,76,69
"184",2010,25,169,16,19,73,62
"185",2010,26,147,7,7,60,73
"186",2010,27,133,4,6,49,73
"187",2010,28,149,8,9,52,81
"188",2010,29,105,2,5,37,61
"189",2010,30,108,3,12,39,54
"190",2010,31,65,0,4,29,32
"191",2010,32,62,0,4,28,30
"192",2010,33,71,2,7,27,35
"193",2010,34,55,1,2,26,26
"194",2010,35,183,12,14,84,73
"195",2010,36,164,12,8,67,77
"196",2010,37,154,8,9,62,75
"197",2010,38,157,10,11,72,65
"198",2010,39,81,4,3,31,42
"199",2010,40,200,16,9,74,102
"200",2010,41,209,12,12,83,102
"201",2010,42,189,8,18,66,98
"202",2010,43,186,8,20,68,90
"203",2010,44,188,12,16,56,104
"204",2010,45,213,12,11,74,115
"205",2010,46,206,13,7,68,118
"206",2010,47,192,13,10,63,106
"207",2010,48,25,1,0,10,13
