"","submeter","year","week","kWh"
"67","Sub_metering_2",2010,19,12.062
"68","Sub_metering_2",2010,20,6.357
"69","Sub_metering_2",2010,21,11.099
"70","Sub_metering_2",2010,22,7.467
"71","Sub_metering_2",2010,23,8.276
"72","Sub_metering_2",2010,24,13.089
"73","Sub_metering_2",2010,25,18.536
"74","Sub_metering_2",2010,26,7.188
"75","Sub_metering_2",2010,27,6.422
"76","Sub_metering_2",2010,28,8.708
"77","Sub_metering_2",2010,29,5.442
"78","Sub_metering_2",2010,30,11.784
"79","Sub_metering_2",2010,31,3.752
"80","Sub_metering_2",2010,32,3.649
"81","Sub_metering_2",2010,33,6.585
"82","Sub_metering_2",2010,34,2.22
"83","Sub_metering_2",2010,35,13.553
"84","Sub_metering_2",2010,36,8.066
"85","Sub_metering_2",2010,37,9.301
"86","Sub_metering_2",2010,38,10.924
"87","Sub_metering_2",2010,39,2.523
"88","Sub_metering_2",2010,40,8.833
"89","Sub_metering_2",2010,41,11.906
"90","Sub_metering_2",2010,42,17.847
"91","Sub_metering_2",2010,43,19.616
"92","Sub_metering_2",2010,44,15.527
"93","Sub_metering_2",2010,45,11.303
"94","Sub_metering_2",2010,46,7.307
"95","Sub_metering_2",2010,47,9.778
"96","Sub_metering_2",2010,48,0.385
"97","Sub_metering_3",2010,1,71.631
"98","Sub_metering_3",2010,2,63.114
"99","Sub_metering_3",2010,3,105.548
"100","Sub_metering_3",2010,4,107.099
"101","Sub_metering_3",2010,5,129.553
"102","Sub_metering_3",2010,6,103.074
"103","Sub_metering_3",2010,7,100.981
"104","Sub_metering_3",2010,8,94.496
"105","Sub_metering_3",2010,9,53
"106","Sub_metering_3",2010,10,71.053
"107","Sub_metering_3",2010,11,88.236
"108","Sub_metering_3",2010,12,70.82
"109","Sub_metering_3",2010,13,87.767
"110","Sub_metering_3",2010,14,86.118
"111","Sub_metering_3",2010,15,78.221
"112","Sub_metering_3",2010,16,93.28
"113","Sub_metering_3",2010,17,57.11
"114","Sub_metering_3",2010,18,74.469
"115","Sub_metering_3",2010,19,84.905
"116","Sub_metering_3",2010,20,89.308
"117","Sub_metering_3",2010,21,74.492
"118","Sub_metering_3",2010,22,81.036
"119","Sub_metering_3",2010,23,73.341
"120","Sub_metering_3",2010,24,76.334
"121","Sub_metering_3",2010,25,72.555
"122","Sub_metering_3",2010,26,59.526
"123","Sub_metering_3",2010,27,48.67
"124","Sub_metering_3",2010,28,52.174
"125","Sub_metering_3",2010,29,36.956
"126","Sub_metering_3",2010,30,39.315
"127","Sub_metering_3",2010,31,29.038
"128","Sub_metering_3",2010,32,28.156
"129","Sub_metering_3",2010,33,26.666
"130","Sub_metering_3",2010,34,26.155
"131","Sub_metering_3",2010,35,84.308
"132","Sub_metering_3",2010,36,66.956
"133","Sub_metering_3",2010,37,61.968
"134","Sub_metering_3",2010,38,71.663
"135","Sub_metering_3",2010,39,31.499
"136","Sub_metering_3",2010,40,73.587
"137","Sub_metering_3",2010,41,82.734
"138","Sub_metering_3",2010,42,66.053
"139","Sub_metering_3",2010,43,68.492
"140","Sub_metering_3",2010,44,56.148
"141","Sub_metering_3",2010,45,74.461
"142","Sub_metering_3",2010,46,68.15
"143","Sub_metering_3",2010,47,63.168
"144","Sub_metering_3",2010,48,9.989
