,year,week,Global,S1,S2,S3,other,type
160,2010,1,200,12,10,72,107,Historical
161,2010,2,168,10,12,63,83,Historical
162,2010,3,251,12,10,106,123,Historical
163,2010,4,259,13,15,107,124,Historical
164,2010,5,263,11,19,130,104,Historical
165,2010,6,246,12,11,103,121,Historical
166,2010,7,227,13,14,101,100,Historical
167,2010,8,223,15,16,94,97,Historical
168,2010,9,138,7,5,53,73,Historical
169,2010,10,190,9,14,71,95,Historical
170,2010,11,208,11,14,88,95,Historical
171,2010,12,164,7,12,71,75,Historical
172,2010,13,207,8,20,88,92,Historical
173,2010,14,189,7,8,86,88,Historical
174,2010,15,175,13,10,78,74,Historical
175,2010,16,186,8,11,93,74,Historical
176,2010,17,142,5,7,57,73,Historical
177,2010,18,178,10,18,74,75,Historical
178,2010,19,190,12,12,85,81,Historical
179,2010,20,190,11,6,89,83,Historical
180,2010,21,169,8,11,74,75,Historical
181,2010,22,168,13,7,81,67,Historical
182,2010,23,172,26,8,73,64,Historical
183,2010,24,173,14,13,76,69,Historical
184,2010,25,169,16,19,73,62,Historical
185,2010,26,147,7,7,60,73,Historical
186,2010,27,133,4,6,49,73,Historical
187,2010,28,149,8,9,52,81,Historical
188,2010,29,105,2,5,37,61,Historical
189,2010,30,108,3,12,39,54,Historical
190,2010,31,65,0,4,29,32,Historical
191,2010,32,62,0,4,28,30,Historical
192,2010,33,71,2,7,27,35,Historical
193,2010,34,55,1,2,26,26,Historical
194,2010,35,183,12,14,84,73,Historical
195,2010,36,164,12,8,67,77,Historical
196,2010,37,154,8,9,62,75,Historical
197,2010,38,157,10,11,72,65,Historical
198,2010,39,81,4,3,31,42,Historical
199,2010,40,200,16,9,74,102,Historical
200,2010,41,209,12,12,83,102,Historical
201,2010,42,189,8,18,66,98,Historical
202,2010,43,186,8,20,68,90,Historical
203,2010,44,188,12,16,56,104,Historical
204,2010,45,213,12,11,74,115,Historical
205,2010,46,206,13,7,68,118,Historical
206,2010,47,192,13,10,63,106,Historical
207,2010,48,25,1,0,10,13,Historical
208,2010,49,178,,,,,Forecast
209,2010,50,210,,,,,Forecast
210,2010,51,212,,,,,Forecast
211,2010,52,224,,,,,Forecast
212,2010,53,37,,,,,Forecast
213,2011,1,200,,,,,Forecast
214,2011,2,181,,,,,Forecast
215,2011,3,251,,,,,Forecast
216,2011,4,243,,,,,Forecast
217,2011,5,250,,,,,Forecast
218,2011,6,243,,,,,Forecast
219,2011,7,201,,,,,Forecast
220,2011,8,207,,,,,Forecast
221,2011,9,159,,,,,Forecast
222,2011,10,196,,,,,Forecast
223,2011,11,200,,,,,Forecast
224,2011,12,166,,,,,Forecast
225,2011,13,201,,,,,Forecast
226,2011,14,181,,,,,Forecast
227,2011,15,183,,,,,Forecast
228,2011,16,181,,,,,Forecast
229,2011,17,152,,,,,Forecast
230,2011,18,174,,,,,Forecast
231,2011,19,178,,,,,Forecast
232,2011,20,179,,,,,Forecast
233,2011,21,160,,,,,Forecast
234,2011,22,155,,,,,Forecast
235,2011,23,157,,,,,Forecast
236,2011,24,136,,,,,Forecast
237,2011,25,148,,,,,Forecast
238,2011,26,137,,,,,Forecast
239,2011,27,127,,,,,Forecast
240,2011,28,122,,,,,Forecast
241,2011,29,95,,,,,Forecast
242,2011,30,93,,,,,Forecast
243,2011,31,63,,,,,Forecast
244,2011,32,67,,,,,Forecast
245,2011,33,82,,,,,Forecast
246,2011,34,79,,,,,Forecast
247,2011,35,160,,,,,Forecast
248,2011,36,151,,,,,Forecast
249,2011,37,158,,,,,Forecast
250,2011,38,162,,,,,Forecast
251,2011,39,107,,,,,Forecast
252,2011,40,183,,,,,Forecast
253,2011,41,195,,,,,Forecast
254,2011,42,190,,,,,Forecast
255,2011,43,184,,,,,Forecast
256,2011,44,192,,,,,Forecast
257,2011,45,202,,,,,Forecast
258,2011,46,207,,,,,Forecast
259,2011,47,202,,,,,Forecast
260,2011,48,90,,,,,Forecast
261,2011,49,191,,,,,Forecast
262,2011,50,206,,,,,Forecast
263,2011,51,202,,,,,Forecast
264,2011,52,235,,,,,Forecast
265,2011,53,31,,,,,Forecast
